NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
Apollo Pharmacy,+(91)02228241561,3.9,212,"Shop No 03, Saroj Apartment, Mahakali Caves Road, Mahakali-andheri East, Mumbai - 400093, Opposite Holly Spirit Hospital",Mumbai,Pharmacy
Nakoda Chemist,+(91)9867545939,4.1,204,"Shop No 5/6, Alaknanda Bldg, Thakur Village, Dattani Park Road, Kandivali East, Mumbai - 400101, Near Union Bank ATM",Mumbai,Pharmacy
Mamajis Medical & General S..,+(91)02226106644,4.0,204,"Shop No 6, Tejpal Road, Vile Parle East, Mumbai - 400057, Opposite Cafe Coffee Day",Mumbai,Pharmacy
Arihant Chemist & Druggist,+(91)02228997722,4.0,199,"Shop No 9, Viraj Deep Building, Eksar Road, Babhai-borivali West, Mumbai - 400092, Near Eksar Junction",Mumbai,Pharmacy
Wellness Forever,+(91)02224031995,3.8,199,"Shop No 1, Ground Floor, Raoli Camp, Flank Road, Sion, Mumbai - 400022, Sardar Nagar No 1, Shivaji Chowk",Mumbai,Pharmacy
Karachi Pharmacy,+(91)02512301219,4.2,195,"Shop No 2,3,4, Shivaji Chowk, Kalyan West, Thane - 421301, Near New Kalyan Station Road",Mumbai,Pharmacy
Prithvi Chemist,+(91)02228929911,4.2,193,"Shop No 1, 2 & 3, Ganesh Darshan Building, Lokmanya Tilak Road, Babhai-borivali West, Mumbai - 400092, Opposite Shri Sagar Restaurant",Mumbai,Pharmacy
Apollo Pharmacy,+(91)7710090155,4.0,193,"Shop No 2, Plot No 101/102, Dafodil Co-operative Housing Society, Vashi, Navi Mumbai - 400703, Near Icici Atm, Sector No 14",Mumbai,Pharmacy
Wellness Forever,+(91)02228981810,3.9,193,"Shop No 9,10 &11, Hari Vijay Co Operative Housing Society, Shimpoli Road, Shimpoli-borivali West, Mumbai - 400092, Opposite Shimpoli Telephone Exchange",Mumbai,Pharmacy
Wellness Forever,+(91)02228063927,3.9,195,"Shop No G46/47, Raj Arcade Co Operative Housing Society, 90 Feet Road, Mahavir Nagar-kandivali West, Mumbai - 400067, Opposite D Mart",Mumbai,Pharmacy
New Meghdhanush Medical & G..,+(91)2228022865,4.4,193,"Shop No 19 & 20,Kamal Apartment,Neelambuj,, Shankar Lane, Kandivali West, Mumbai - 400067, Opposite Humlog Society,",Mumbai,Pharmacy
Shilpa Medical & General St..,+(91)2227420038,4.5,190,"Shop No 5, 11 & 12, J K Shopping Centre, Kalamboli, Navi Mumbai - 410218, Sector No 1, Opposite Mcdonalds",Mumbai,Pharmacy
Maa Medico,+(91)02225203311,4.2,190,"2, Yadukul, Co-operative Housing Society, Plot No 24, Chembur East, Mumbai - 400071, Sarvodaya Estate, Postal Colony",Mumbai,Pharmacy
Alankar Chemist,+(91)2222816622,4.3,188,"Shop No 03/B, Stadium House, Veer Nariman Road, Churchgate, Mumbai - 400020, Opposite Ambassador Hotel",Mumbai,Pharmacy
Bhagwati Medical & General ..,+(91)02228946894,4.1,188,"Shop No 4, Royal Tower, D P Link Road, Ic Colony-borivali West, Mumbai - 400103, Near Corporation Bank",Mumbai,Pharmacy
Anmol Chemist,+(91)02223000059,4.1,187,"Shop No S/4, M-9, Memni Building, Duncun Road and Maulana Azad Road, Mumbai Central, Mumbai - 400008, Near Nagpada Junction, Opposite Sagar Hotel",Mumbai,Pharmacy
Roman Medical Stores,+(91)9833266469,4.0,186,"Sea Green Building,Shop No-6, Bank Of Maharashtra Lane, Andheri West, Mumbai - 400061, Seven Bunglows,Near Roman Super Market",Mumbai,Pharmacy
Wellness Forever,+(91)02227810453,3.9,186,"Shop No 6/D, Ground Floor, Bsel Tech Park, Plot No 39/5,39/5A, Vashi Sector 30a, Navi Mumbai - 400703, Near Vashi Station Road",Mumbai,Pharmacy
Ekta Chemist,+(91)2225904124,4.4,185,"10 Lalan Building, Devidayal Road, Mulund West, Mumbai - 400080, Near Panch Rasta",Mumbai,Pharmacy
Wellness Forever,+(91)02502342055,4.0,186,"Shop No 6A/6B, Ground Floor, Hira Niketan, Ambadi Road Corner, Vasai West, Palghar - 401202, Opposite Traffic Police Station",Mumbai,Pharmacy
Guruprasad Medical & Genera..,+(91)2226360566,4.0,184,"Shop No 17, Twin Towers, Lokhandwala Complex-andheri West, Mumbai - 400053, Opposite City Girl, Lokhandwala Market",Mumbai,Pharmacy
General Medical,+(91)9867007862,4.0,185,"Shop No 2/ 3, Ground Floor, Kartar Bhavan, Arthur Bunder Road, Colaba, Mumbai - 400005, Near Radio Club",Mumbai,Pharmacy
Global Chemist,+(91)2227744353,4.3,181,"Shree Balaji Krupa Building Shop No-14 Plot No-19/A, Sector-20, Kharghar, Navi Mumbai - 410210, Opposite Daily Bazar/Near Bank Of Baroda",Mumbai,Pharmacy
Omair Medical & General Sto..,+(91)2226789855,4.1,181,"Shop Number 2, Rippon Apartment, S V Road, Jogeshwari West, Mumbai - 400102, Opposite Raj Nagar",Mumbai,Pharmacy
Gokul Chemist,+(91)2228400172,4.0,178,"L/34, Gokuldham Shopping Centre, Film City Road, Goregaon East, Mumbai - 400063, Near Gokuldham High School",Mumbai,Pharmacy
Hospital Chemist,+(91)02223809110,4.2,177,"Shop No - 5, Bhiwaniwala House, Gowalia Tank Road, Kemps Corner, Mumbai - 400006, Opp. Cumballa Hill Hospital",Mumbai,Pharmacy
Hira Chemist,+(91)2223713244,4.2,177,"Shop No 2, 111, Kadawani Chamber , Mehta Chamber, Motisha Lane, Mazgaon, Mumbai - 400010, Opposite Sumer Tower,Near MTNL Office",Mumbai,Pharmacy
Hospital Chemist,+(91)2223636362,4.2,177,"Shop No 9 Sagar Cottage A 64-61, Walkeshwar Road, Malabar Hill, Mumbai - 400006, Opposite Sital Baug",Mumbai,Pharmacy
New Bombay Chemist,+(91)2266311277,4.0,177,"39/40 Kakkad Arcade, New Marine Lines-churchgate, Mumbai - 400020, Opposite Bombay Hospital",Mumbai,Pharmacy
Wellness Forever,+(91)2226607901,3.8,177,"Shop No 2, New Lido Cinema Building, Juhu Tara Road, Santacruz West, Mumbai - 400054, Opposite Sndt Women University",Mumbai,Pharmacy
Mahavir Chemist,+(91)2265027707,4.2,176,"Shop No 7 & 8, The Palazzo Building, IC Colony Road, Ic Colony-borivali West, Mumbai - 400103, Opposite Post Office",Mumbai,Pharmacy
Metro Chemist,+(91)02228602772,4.1,175,"Shop No 5/6, Plot No 8, Rsc 25, Seacrown Bulding, Kandivali West, Mumbai - 400067, Near Sector No 8, Charkop",Mumbai,Pharmacy
Apollo Pharmacy,+(91)2228400266,3.6,175,"Shop No G/7, Gokuldham Shopping Centre, Krishna Vatika Marg, Goregaon East, Mumbai - 400063, Near Krishna Vatika Mandir",Mumbai,Pharmacy
